timestamp,user,device,asset,ip,event_type,source,severity,session_id,mitre_technique,mitre_tactic,geo_country,geo_risk,network_zone,asset_criticality,threat_score,user_risk_score,attack_chain
2026-03-17T05:44:00,emp_101,,,,port_scan,FIREWALL,high,899b9665,T1046,Discovery,GB,low,external,low,48,0.66,
2026-03-17T01:55:05,emp_132,ops-workstation-032,,155.204.92.43,login_failed,IAM,medium,e4d192c5,T1110.001,Credential Access,BY,high,external,low,32,0.44,
2026-03-17T22:52:34,emp_128,risk-workstation-028,,10.0.0.28,malware_detected,EDR,critical,1c6ace5d,T1204.002,Execution,IN,low,internal,low,80,0.1,
2026-03-17T04:01:00,emp_137,,file-server,142.213.101.237,file_download,APP,medium,6114d87a,T1105,Command and Control,GB,low,external,medium,29,0.53,suspicious_night_login
2026-03-17T15:29:20,emp_140,,risk-db,10.0.0.40,file_download,APP,medium,61e71bf6,T1105,Command and Control,IN,low,internal,high,21,0.9,
2026-03-17T22:21:44,emp_136,security-workstation-036,,59.12.226.105,mfa_failed,IAM,high,9b6c20de,T1556,Credential Access,DE,low,external,low,42,0.59,
2026-03-17T08:17:28,emp_108,ops-workstation-008,,10.0.0.8,logout,IAM,low,5a51876e,T1078,Defense Evasion,IN,low,internal,low,5,0.29,
2026-03-17T05:38:55,emp_122,compliance-workstation-022,,122.171.217.239,login_failed,IAM,medium,1e560f83,T1110.001,Credential Access,AU,low,external,low,24,0.8,
2026-03-17T17:14:55,emp_138,,archive-db,10.0.0.38,database_query,APP,low,81f77b49,T1213,Collection,IN,low,internal,medium,7,0.34,
2026-03-17T14:50:15,emp_105,compliance-workstation-005,,10.0.0.5,malware_detected,EDR,critical,9c115107,T1204.002,Execution,IN,low,internal,low,93,0.65,malware_infection
2026-03-17T14:51:15,emp_105,compliance-workstation-005,,10.0.0.5,privilege_escalation,EDR,critical,9c115107,T1068,Privilege Escalation,IN,low,internal,low,88,0.65,malware_infection
2026-03-17T14:07:12,emp_108,ops-workstation-008,,10.0.0.8,logout,IAM,low,8cf5c411,T1078,Defense Evasion,IN,low,internal,low,5,0.29,
2026-03-17T14:20:48,emp_114,,,,vpn_connect,FIREWALL,low,a90c397f,T1133,Initial Access,IN,low,internal,low,4,0.06,
2026-03-17T12:47:53,emp_137,,,,connection_attempt,FIREWALL,low,3c23941e,T1071,Command and Control,IN,low,internal,low,8,0.53,
2026-03-17T13:08:00,emp_127,risk-workstation-027,,10.0.0.27,file_download,EDR,medium,d7f919f8,T1105,Command and Control,IN,low,internal,low,27,0.06,malware_infection
2026-03-17T13:09:15,emp_127,risk-workstation-027,,10.0.0.27,privilege_escalation,EDR,critical,d7f919f8,T1068,Privilege Escalation,IN,low,internal,low,85,0.06,malware_infection
2026-03-17T13:54:49,emp_146,,trading-db,10.0.0.46,data_access,APP,medium,38aa4fc9,T1530,Collection,IN,low,internal,critical,22,0.14,
2026-03-17T08:22:05,emp_126,compliance-workstation-026,,10.0.0.26,file_download,EDR,medium,637c600d,T1105,Command and Control,IN,low,internal,low,20,0.73,
2026-03-17T01:52:34,emp_129,,risk-db,10.0.0.29,data_access,APP,medium,95e249db,T1530,Collection,IN,low,internal,high,23,0.2,
2026-03-17T09:03:42,emp_138,,,,connection_attempt,FIREWALL,low,a385c768,T1071,Command and Control,IN,low,internal,low,7,0.34,
2026-03-17T11:25:43,emp_120,,,,vpn_connect,FIREWALL,low,6423085b,T1133,Initial Access,IN,low,internal,low,7,0.6,
2026-03-17T16:20:23,emp_150,compliance-workstation-050,,10.0.0.50,mfa_attempt,IAM,low,a2de1b74,T1556,Credential Access,IN,low,internal,low,8,0.81,
2026-03-17T03:07:00,emp_107,,customer-db,10.0.0.7,data_access,APP,medium,aeda23c2,T1530,Collection,IN,low,internal,high,25,0.63,
2026-03-17T03:07:15,emp_108,ops-workstation-008,,10.0.0.8,script_execution,EDR,high,d60c6c5e,T1059.001,Execution,IN,low,internal,low,54,0.29,suspicious_night_login
2026-03-17T17:10:05,emp_142,,,,connection_attempt,FIREWALL,low,550ccb44,T1071,Command and Control,IN,low,internal,low,7,0.34,
2026-03-17T12:04:36,emp_112,,core-banking-db,10.0.0.12,file_download,APP,medium,86182091,T1105,Command and Control,IN,low,internal,critical,19,0.4,
2026-03-17T09:56:56,emp_103,,,,connection_attempt,FIREWALL,low,48fcdfd2,T1071,Command and Control,IN,low,internal,low,6,0.18,
2026-03-17T14:14:15,emp_149,,risk-db,10.0.0.49,file_download,APP,medium,3f256e81,T1105,Command and Control,IN,low,internal,high,17,0.09,
2026-03-17T11:11:59,emp_129,finance-laptop-029,,10.0.0.29,login_success,IAM,low,cbc54b78,T1078,Initial Access,IN,low,internal,low,6,0.2,
2026-03-17T09:21:36,emp_112,finance-laptop-012,,10.0.0.12,process_start,EDR,low,fc1c9e5c,T1059,Execution,IN,low,internal,low,7,0.4,
2026-03-17T15:09:29,emp_141,finance-laptop-041,,10.0.0.41,password_change,IAM,low,2c2895de,T1098,Persistence,IN,low,internal,low,6,0.51,
2026-03-17T02:23:52,emp_131,,trading-db,10.0.0.31,data_export,APP,critical,662433b5,T1567,Exfiltration,IN,low,internal,critical,70,0.11,
2026-03-17T23:32:31,emp_125,security-workstation-025,,10.0.0.25,file_access,EDR,low,1ddc1c1e,T1083,Discovery,IN,low,internal,low,7,0.43,
2026-03-17T14:04:09,emp_136,,,,vpn_connect,FIREWALL,low,ca805024,T1133,Initial Access,IN,low,internal,low,6,0.59,
2026-03-17T14:16:49,emp_109,,customer-db,10.0.0.9,data_access,APP,medium,5ee659f9,T1530,Collection,IN,low,internal,high,24,0.57,
2026-03-17T13:08:30,emp_125,security-workstation-025,,10.0.0.25,file_access,EDR,low,edbd7553,T1083,Discovery,IN,low,internal,low,7,0.43,
2026-03-17T11:48:54,emp_109,,,,vpn_disconnect,FIREWALL,low,fede0643,T1133,Initial Access,IN,low,internal,low,6,0.57,
2026-03-17T12:13:26,emp_109,compliance-workstation-009,,10.0.0.9,password_change,IAM,low,88c18808,T1098,Persistence,IN,low,internal,low,6,0.57,
2026-03-17T12:28:17,emp_136,,hr-db,10.0.0.36,database_query,APP,low,2eb46909,T1213,Collection,IN,low,internal,medium,8,0.59,
2026-03-17T12:56:16,emp_102,,,,vpn_connect,FIREWALL,low,79678cdb,T1133,Initial Access,IN,low,internal,low,5,0.29,
2026-03-17T17:51:40,emp_124,hr-laptop-024,,10.0.0.24,login_success,IAM,low,71419a6d,T1078,Initial Access,IN,low,internal,low,9,0.95,
