timestamp,user,event_type,ip,source,asset,severity,device
2026-03-12T13:21:06.783031,emp_136,process_start,10.0.65.245,EDR,trading-workstation-036,low,trading-workstation-036
2026-03-12T13:22:54.220032,emp_106,password_change,10.2.232.100,IAM,auth-server,low,finance-laptop-006
2026-03-12T13:23:43.727833,emp_107,password_change,10.2.253.122,IAM,auth-server,low,security-workstation-007
2026-03-12T13:23:49.651792,emp_118,password_change,10.1.109.92,IAM,auth-server,low,security-workstation-018
2026-03-12T13:23:58.662231,emp_129,database_query,10.2.59.185,APP,payments-db,low,finance-laptop-029
2026-03-12T13:24:40.073841,emp_105,mfa_attempt,10.1.112.78,IAM,auth-server,low,finance-laptop-005
2026-03-12T13:24:41.970696,emp_105,file_download,10.1.14.216,APP,audit-db,low,finance-laptop-005
2026-03-12T13:26:16.608532,emp_144,process_start,10.1.80.118,EDR,hr-desktop-044,low,hr-desktop-044
2026-03-12T13:27:22.328613,emp_127,file_download,10.0.206.202,APP,compliance-db,low,trading-workstation-027
2026-03-12T13:27:28.169869,emp_117,database_query,10.2.231.205,APP,payments-db,low,risk-terminal-017
2026-03-12T13:28:22.152601,emp_102,mfa_attempt,10.1.43.159,IAM,auth-server,low,risk-terminal-002
2026-03-12T13:33:40.250844,emp_123,file_access,10.0.23.88,EDR,hr-desktop-023,low,hr-desktop-023
2026-03-12T13:33:45.981550,emp_126,port_scan,10.0.251.100,FIREWALL,payments-server,medium,trading-workstation-026
2026-03-12T13:34:04.591468,emp_121,connection_attempt,10.1.69.39,FIREWALL,web-server,low,hr-desktop-021
2026-03-12T13:35:54.399783,emp_150,connection_attempt,10.0.246.42,FIREWALL,monitoring-server,low,hr-desktop-050
2026-03-12T13:35:59.070669,emp_104,file_access,10.1.178.246,EDR,hr-desktop-004,low,hr-desktop-004
2026-03-12T13:36:07.148914,emp_116,connection_attempt,10.0.175.96,FIREWALL,payments-server,low,trading-workstation-016
2026-03-12T13:37:02.875072,emp_150,file_download,10.2.173.57,APP,compliance-db,low,hr-desktop-050
2026-03-12T13:38:14.482612,emp_102,file_access,10.2.234.30,EDR,risk-terminal-002,low,risk-terminal-002
2026-03-12T13:38:19.319565,emp_102,password_change,10.1.35.78,IAM,auth-server,low,risk-terminal-002
2026-03-12T13:40:00.119469,emp_132,password_change,10.2.32.143,IAM,auth-server,low,security-workstation-032
2026-03-12T13:40:22.359186,emp_113,login_success,10.0.56.62,IAM,auth-server,low,finance-laptop-013
2026-03-12T13:42:17.951547,emp_129,file_access,10.2.25.26,EDR,finance-laptop-029,low,finance-laptop-029
2026-03-12T13:43:55.380652,emp_117,connection_attempt,10.2.237.137,FIREWALL,auth-server,low,risk-terminal-017
2026-03-12T13:47:23.701788,emp_146,connection_attempt,10.2.91.245,FIREWALL,file-server,low,finance-laptop-046
2026-03-12T13:47:25.919615,emp_123,process_start,10.0.104.236,EDR,hr-desktop-023,low,hr-desktop-023
2026-03-12T13:47:27.856032,emp_130,connection_attempt,10.2.104.211,FIREWALL,file-server,low,security-workstation-030
2026-03-12T13:47:49.865418,emp_123,file_download,10.1.135.212,APP,risk-db,low,hr-desktop-023
2026-03-12T13:47:55.920180,emp_134,data_access,10.0.32.211,APP,audit-db,low,security-workstation-034
2026-03-12T13:48:03.363877,emp_129,process_start,10.1.237.103,EDR,finance-laptop-029,low,finance-laptop-029
2026-03-12T13:48:49.569948,emp_114,process_start,10.0.6.126,EDR,hr-desktop-014,low,hr-desktop-014
2026-03-12T13:50:02.563651,emp_138,data_access,10.0.171.65,APP,audit-db,low,finance-laptop-038
2026-03-12T13:50:39.864377,emp_131,privilege_escalation,136.123.102.175,EDR,finance-laptop-031,medium,finance-laptop-031
2026-03-12T13:52:51.923774,emp_144,process_start,10.1.136.222,EDR,hr-desktop-044,low,hr-desktop-044
2026-03-12T13:53:28.724551,emp_114,file_download,10.1.246.26,APP,customer-db,low,hr-desktop-014
2026-03-12T13:53:48.130878,emp_128,password_change,10.2.97.47,IAM,auth-server,low,risk-terminal-028
2026-03-12T13:54:41.613491,emp_137,connection_attempt,10.0.115.13,FIREWALL,internal-api,low,security-workstation-037
2026-03-12T13:54:42.701046,emp_117,file_download,10.1.75.234,APP,risk-db,low,risk-terminal-017
2026-03-12T13:54:45.585576,emp_121,password_change,10.0.26.2,IAM,auth-server,low,hr-desktop-021
2026-03-12T13:54:54.329268,emp_102,password_change,10.1.57.205,IAM,auth-server,low,risk-terminal-002
2026-03-12T13:55:53.764998,emp_137,file_download,10.1.213.135,APP,customer-db,low,security-workstation-037
2026-03-12T13:56:15.324149,emp_122,connection_attempt,10.2.207.48,FIREWALL,backup-server,low,trading-workstation-022
2026-03-12T13:56:32.113655,emp_139,mfa_attempt,10.2.235.231,IAM,auth-server,low,finance-laptop-039
2026-03-12T13:56:58.131241,emp_111,password_change,10.2.98.222,IAM,auth-server,low,risk-terminal-011
2026-03-12T13:57:04.894739,emp_124,mfa_attempt,10.0.168.192,IAM,auth-server,medium,finance-laptop-024
2026-03-12T13:57:06.209526,emp_116,file_download,10.1.28.32,APP,payments-db,low,trading-workstation-016
2026-03-12T13:58:01.090754,emp_125,login_success,10.1.17.96,IAM,auth-server,low,risk-terminal-025
2026-03-12T13:59:21.527305,emp_118,process_start,10.0.200.221,EDR,security-workstation-018,low,security-workstation-018
2026-03-12T13:59:51.754433,emp_148,password_change,10.1.195.175,IAM,auth-server,low,trading-workstation-048
2026-03-12T14:00:34.409160,emp_116,login_success,10.1.69.245,IAM,auth-server,low,trading-workstation-016
2026-03-12T14:02:28.360552,emp_121,data_access,10.2.230.195,APP,core-banking-db,low,hr-desktop-021
